day,南山,福田,龙岗,宝安,龙华,罗湖,坪山,光明,盐田,大鹏
1月30日,31,24,21,11,10,4,3,2,2,2
1月31日,42,37,36,22,17,4,4,3,3,2
2月1日,46,36,41,22,24,11,5,5,3,2
2月2日,48,42,37,28,24,12,5,6,3,2
2月3日,52,54,41,33,30,19,6,8,3,2
2月4日,59,57,45,35,31,20,6,9,3,2
2月5日,64,62,51,40,31,23,6,10,3,2
2月6日,71,64,56,44,32,23,6,10,3,2
2月7日,77,65,58,48,31,27,6,10,3,2
2月8日,81,68,60,49,32,29,6,10,4,2
2月9日,83,68,61,50,31,29,6,10,4,2
2月10日,85,70,62,52,31,29,6,10,4,2
2月11日,86,71,67,53,31,29,7,10,6,2
2月12日,86,72,67,55,33,29,7,10,6,2
2月13日,86,75,68,57,33,32,7,10,6,2
2月14日,86,77,69,59,33,32,7,11,6,2
2月15日,87,78,71,62,34,32,7,11,6,2
2月16日,87,79,71,62,34,32,7,11,6,2
2月17日,87,80,71,62,34,32,7,11,6,2
2月18日,87,80,71,62,34,32,7,11,6,2
2月19日,87,80,71,62,34,32,7,11,6,2
2月20日,87,80,71,62,34,32,7,11,6,2
2月21日,87,81,71,62,34,32,7,11,6,2
2月22日,87,81,71,62,34,32,7,11,6,2
2月23日,87,81,71,62,34,32,7,11,6,2
2月24日,87,81,71,62,34,32,7,11,6,2
2月25日,87,81,71,62,34,32,7,11,6,2
2月26日,87,81,71,62,34,32,7,11,6,2
2月27日,87,81,71,62,34,32,7,11,6,2
2月28日,87,81,71,62,34,32,7,11,6,2
2月29日,87,81,71,62,34,32,7,11,6,2
3月1日,87,82,71,62,34,32,7,11,6,2
3月2日,87,82,71,62,34,32,7,11,6,2
3月3日,87,82,71,62,34,32,7,11,6,2
3月4日,87,82,71,62,34,32,7,11,6,2
3月5日,87,82,71,62,34,32,7,11,6,2
